name,link,desc,lang,star,fork,updatedAt
"jglovier / jglovier.github.io","https://github.com/jglovier/jglovier.github.io","📓 Source for joelglovier.com. Built with Jekyll and hosted on GitHub Pages.","HTML","91","34","2020-01-03T09:59:44Z"
"daattali / beautiful-jekyll","https://github.com/daattali/beautiful-jekyll","✨ Build a beautiful and simple website in literally minutes. Demo at http://deanattali.com/beautiful-jekyll","HTML","2286","7143","2020-01-02T22:54:57Z"
"BlackrockDigital / startbootstrap-clean-blog-jekyll","https://github.com/BlackrockDigital/startbootstrap-clean-blog-jekyll","A Jekyll version of the Clean Blog theme by Start Bootstrap","HTML","1492","1390","2019-12-31T18:16:44Z"
"juthilo / run-jekyll-on-windows","https://github.com/juthilo/run-jekyll-on-windows","Learn how to run Jekyll, the blog-aware, static site generator in Ruby on Windows.","CSS","307","67","2019-04-27T03:32:57Z"
"jekyll / jekyll-admin","https://github.com/jekyll/jekyll-admin","A Jekyll plugin that provides users with a traditional CMS-style graphical interface to author content and administer Jekyll sites.","JavaScript","2151","283","2020-01-06T16:17:58Z"
"github / gemoji","https://github.com/github/gemoji","Emoji images and names.","Ruby","3477","555","2019-11-29T17:52:59Z"
"jgm / pandoc","https://github.com/jgm/pandoc","Universal markup converter","Haskell","17734","2067","2020-01-06T05:15:40Z"
"olivernn / lunr.js","https://github.com/olivernn/lunr.js","A bit like Solr, but much smaller and not as bright","JavaScript","6531","483","2019-12-09T05:18:23Z"
"chriskempson / tomorrow-theme","https://github.com/chriskempson/tomorrow-theme","Tomorrow Theme now lives on at https://github.com/chriskempson/base16","CSS","12619","3080","2019-06-08T11:18:32Z"
"brix / crypto-js","https://github.com/brix/crypto-js","JavaScript library of crypto standards.","JavaScript","8325","1302","2019-12-17T22:51:21Z"
"jbake-org / jbake","https://github.com/jbake-org/jbake","Java based open source static site/blog generator for developers & designers.","Java","807","277","2019-12-16T21:32:55Z"
"middleman / middleman","https://github.com/middleman/middleman","Hand-crafted frontend development","Ruby","6577","702","2019-12-17T18:52:22Z"
"tiancode / learn-hacking","https://github.com/tiancode/learn-hacking","开始学习Kali Linux 各种破解教程 渗透测试 逆向工程 HackThisSite挑战问题解答","","1476","451","2016-11-04T14:44:29Z"
"snaptortoise / jekyll-rss-feeds","https://github.com/snaptortoise/jekyll-rss-feeds","Templates for rendering RSS feeds for your Jekyll blog","","611","87","2019-12-04T07:59:50Z"
"Trinea / android-open-project","https://github.com/Trinea/android-open-project","A categorized collection of Android Open Source Projects, More powerful web version:","","29535","12134","2019-11-11T00:15:22Z"
"enml / blog","https://github.com/enml/blog","a github pages blog","Ruby","89","97","2017-04-18T04:11:40Z"
"igrigorik / ga-beacon","https://github.com/igrigorik/ga-beacon","Google Analytics collector-as-a-service (using GA measurement protocol).","Go","3368","333","2018-10-02T23:34:14Z"
"shadowsocks / shadowsocks-windows","https://github.com/shadowsocks/shadowsocks-windows","If you want to keep a secret, you must also hide it from yourself.","C#","46303","14942","2020-01-05T16:45:19Z"
"brakmic / Angular-Articles","https://github.com/brakmic/Angular-Articles","💾 Projects from my Angular article series","JavaScript","23","28","2017-06-15T10:28:44Z"
"jarrekk / Jalpc","https://github.com/jarrekk/Jalpc","🍎Jalpc -- A flexible Jekyll theme, 3 steps to build your website.","CSS","757","1040","2019-07-10T05:49:42Z"
"monospaced / angular-qrcode","https://github.com/monospaced/angular-qrcode","QR Code elements for AngularJS.","HTML","407","150","2019-04-03T11:36:58Z"
"bobbrady / static-angularjs-blog","https://github.com/bobbrady/static-angularjs-blog","A simple static file blog written with AngularJS","HTML","1","0","2016-05-30T03:40:38Z"
"justjavac / free-programming-books-zh_CN","https://github.com/justjavac/free-programming-books-zh_CN","📚 免费的计算机编程类中文书籍，欢迎投稿","","62160","19393","2019-12-29T09:30:38Z"
"justjavac / justjavac.github.com","https://github.com/justjavac/justjavac.github.com","个人博客，喜欢的话请点 star，想订阅点 watch ✨","HTML","521","196","2019-11-01T18:46:40Z"
"clangcn / kcp-server","https://github.com/clangcn/kcp-server","kcp-server one key install shell,build for https://github.com/kcptunsocks/kcptun/tree/router","Shell","681","200","2017-04-17T09:51:50Z"
"keakon / Doodle","https://github.com/keakon/Doodle","A blog system based on Python 2.7 and Redis.","Python","33","14","2019-12-28T04:01:42Z"
"octopress / octopress","https://github.com/octopress/octopress","Octopress 3.0 – Jekyll's Ferrari","Ruby","1713","173","2017-08-27T02:06:46Z"
"LitePalFramework / LitePal","https://github.com/LitePalFramework/LitePal","An Android library that makes developers use SQLite database extremely easy.","Java","6878","1458","2019-05-26T06:27:33Z"
"jobbole / awesome-programming-books","https://github.com/jobbole/awesome-programming-books","经典编程书籍大全，涵盖：计算机系统与网络、系统架构、算法与数据结构、前端开发、后端开发、移动开发、数据库、测试、项目与团队、程序员职业修炼、求职面试等","","10061","2727","2019-02-20T07:18:39Z"
"o2team / app","https://github.com/o2team/app","Application store for AotuLabs","JavaScript","55","12","2017-07-31T14:44:35Z"
"overtrue / laravel-uploader","https://github.com/overtrue/laravel-uploader","🌴 An upload component for Laravel.","PHP","112","15","2019-11-14T01:43:04Z"
"xcatliu / jekyllcn","https://github.com/xcatliu/jekyllcn","Jekyll 的中文翻译网站","Ruby","403","127","2019-01-09T13:58:30Z"
